title,speaker,description,CE_Credits,urllink,Category,format,Cost,educationalObjectives,Source,releaseDate
"Pediatric Dentistry: Anesthesia, Pulp Therapy, and Stainless Steel Crowns","Josh Wren, DMD","With the Affordable Care Act mandating dental coverage for those under 19, there will be more than 3,000,000 pediatric patients added to 150,000 dental practices. Treating children may become a necessity for your dental office. Pulp therapy and stainless steel crowns are procedures that are often considered complex when performed on pediatric patients. This course will alleviate any fear or the unknown that leads to this misconception. Indirect pulp therapy, pulptomy, and pulpectomy will be discussed with emphasis on diagnosis and technique. Stainless steel crowns will also be discussed and procedural steps thoroughly explained and shown. Pulp therapy nor stainless steel crowns are possible without effective anesthetic techniques thus this course also discusses Dr. Wren’s process for the utilization of nitrous oxide, appropriate topical anesthesia and local anesthesia in order to achieve a truly painless injection 100% of the time. If you are treating children in your practice, this course is a must!",2,https://www.dentaltown.com/onlinece/details/422/pediatric-dentistry-anesthesia-pulp-therapy-and-stainless-steel-crowns,Pediatric Dentistry,Video, $36,"1. Administer a painless injection for any pediatric dental procedure without using the inferior alveolar nerve block
2. Know when to perform indirect pulp therapy vs. pulpotomy vs. pulpectomy
3. Know how to perform indirect pulp therapy, pulptomy and pulpectomy
4. Master the stainless steel crown procedure with efficiency and predictability
5. Feel comfortable performing these procedures on a pediatric dental patient",Dentaltown,8/6/2014
I Like Big Abutments and I Cannot Lie — Screw-retained Crowns and Custom Implant Abutments in the General Practice,"August De Oliveira, DDS","To describe different clinical situations in which custom abutments and screw-retained crowns are utilized. In order to create restorations on implants that look natural, certain clinical parameters much be met. Methods of digital impression, fabrication and finishing are also covered.",1.5,https://www.dentaltown.com/onlinece/details/494/i-like-big-abutments-and-i-cannot-lie-screw-retained-crowns-and-custom-implant-abutments-in-the-general-practice,Implant Dentistry,PDF, $36,"To understand the differences between stock and custom abutments.
To learn when custom abutments can yield better clinical results than stock abutments.
To know when a screw-retained implant crown may be used over a separate abutment and cemented restoration.
To learn implant placement protocols that may aid in creating more life-like restorations.
To understand the process of obtaining an e.max abutment or screw retained crown.",Dentaltown,8/1/2014
Three Basic Emergency Medications You Should Know How to Use,"Allan Schwartz, DDS, CRNA",This article covers a few of the most common emergency medications found in many proprietary dental emergency medication kits. Every dentist should periodically review the uses and be familiar with these medications and share this information with their staff.,1.5,https://www.dentaltown.com/onlinece/details/495/three-basic-emergency-medications-you-should-know-how-to-use,"Oral Pathology, Pharmacology, and Cariology",PDF, $36,"Describe the immediate use of oxygen in a dental emergency.
Discuss the physiological function of oxygen.
Discuss the meaning of fraction of inspired oxygen (FiO2 ).
Discuss the oxygen delivery of various airway devices.
Describe the consistency of inhaled spirits of ammonia and its use in hypotension.",Dentaltown,8/1/2014
Get Ahead of the Crowd with Digitally Designed Implants. Recorded Live at Townie Meeting!,Dr. Scott Sauer,"The placement and restoration of single posterior implants utilizing cone beam and CAD/CAM technology is “state of the art now”. As the demand for implant services continues to increase, digital technology allows us to place and restore implants with greater predictability, functionality and better esthetics. As more general dentists are offering implant services, this technology can set you apart from the competition by allowing you to provide your patients simpler, time saving, cost effective implant solutions. Recorded Live at Townie Meeting 2014!",2,https://www.dentaltown.com/onlinece/details/480/get-ahead-of-the-crowd-with-digitally-designed-implants-recorded-live-at-townie-meeting,Implant Dentistry,Video, $36,"The economic advantage of implants vs. bridges
How to use CBCT and CAD/CAM technology to place surgically guided implants whose position has been restoratively predetermined
How to use CAD/CAM technology to quickly and economically produce screw retained crowns
How to use CAD/CAM technology to produce custom abutments with cementable crowns",Dentaltown,7/30/2014
"Co-discovery: It Is Not About You, Doc. Recorded Live at Townie Meeting!",Dr. Scott Cairns,"Dental school taught us to be the expert. They never told us what to do when patients don't believe us, or how to get patients to want dentistry. Co-discovery is a predictable and easily learned technique that will engage patients and move them toward more significant dentistry quickly. The days of the doctor just telling patients what their condition is, and recommending a treatment are over. The sooner you change your examination from data collection to co-discovery the sooner you will do the dentistry you diagnose. Recorded Live at Townie Meeting 2014!",2,https://www.dentaltown.com/onlinece/details/484/co-discovery-it-is-not-about-you-doc-recorded-live-at-townie-meeting,"Practice Management, HR and Accounting",Video, $36,"How to engage your patients during an examination
How to raise your patients' awareness about their oral condition
How to present more treatment with less worry about what patients will think",Dentaltown,7/30/2014
"Townie Meeting 2014: Panel Discussion- ""Advancements in Diagnostic Technologies""","Drs. Tom Giacobbi, David Gaine, David Kimmel, Timothy Goodheart.",Panel Discussion from Townie Meeting 2014 on the use of Technology in the Dental office to aid in Diagnostics. This course can be viewed at no cost compliments of the Townie Meeting.,1,https://www.dentaltown.com/onlinece/details/472/townie-meeting-2014-panel-discussion-advancements-in-diagnostic-technologies,"Practice Management, HR and Accounting",Video, $18,"To gain a better understanding on new advances in techology in Diagnostics
To learn how to incorporate these diagnostgic advances into one's practice
To better one's treatment planning.",Dentaltown,7/30/2014
Townie Talks...Townie Meeting 2014,"Farran, Nosti, Horocks and Dilatush, Honigman, Mclaren, Kanca, Smithson, etc.","Townie Talks is a series of 18 minute talks by some of the most respected speakers in Dentistry that took place at the Townie Meeting in 2014. The talks vary from clinical dentistry, to practice management, to patient care, to ways of improving your life. There is no cost to view this excellent series of talks and only $36 to receive 3 CE credits.",3,https://www.dentaltown.com/onlinece/details/481/townie-talkstownie-meeting-2014,"Practice Management, HR and Accounting",Video, $36,"To have a better understanding on the importance of etching in bonding.
To learn the latest ideas of dental practice marketing.
To gain insight in the latest in helping those that need improvements in dental esthetics.
To learn if it is possible to improve periodontal pocketing with a laser.",Dentaltown,7/30/2014
The 180 Degree Dental Journey: Part Six: Million Dollar Hygiene and Transitions,Michael Abernathy DDS,"The practice of ""hygiene"" is a science that will lead to increased profitability and growth. Your staff and your hygienist in particular set the stage for successful case presentations, bonding with the practice, and repeat business. We will cover the scripts, actions, and systems that make hygiene a profit center rather than a loss leader for your practice. With this growth you will need to know how and when to add more staff and doctors to meet the increased need and growth of your practice. Few doctors know how to successfully structure associates and buy-ins to maintain growth. You will learn how the very best do this.
You will learn how to transform the hygiene department into an integral growth machine for your practice. Your stress from high hygiene turnover and mediocre production will disappear. You will actually have all the tools to ramp up hygiene by using the marketing tools we gave you in the fifth module on marketing. Patients bond to office because of hygiene and you will learn the tricks of my multimillion dollar practice that allowed us to process over 250 new patients a month, maintain an overhead of 50-54%, while maintaining a 20% growth per year for 34 years through the addition of doctors and more hygienists. The second part of this course covers how a successful transition takes place in a growing practice. Information for the young dentist looking to join a practice as an associate or owner as well as details for the experienced practice owner looking to either expand or sell the practice are covered thoroughly. This is part 6 of a six part series that as a whole gives you every step to thrive in Dentistry in any location or economy.",1.5,https://www.dentaltown.com/onlinece/details/401/the-180-degree-dental-journey-part-six-million-dollar-hygiene-and-transitions,"Practice Management, HR and Accounting",Video, $36,"Develop special communication skills that will turn you and your office from barely adequate to totally awesome.
How to enlist patients to accept treatment, while creating healthy, happy, loyal patients.
Effective hygiene scheduling, with the art of “co-diagnosing” and why it is essential to case acceptance and growth.
Commission based hygiene and moving “perio” to the forefront of a productive hygiene department.
Know when an effective transition makes sense.
Understand and use the Senior doctor's perspective in a transition.
Understand and use the Junior doctor's perspective in a transition.
Design Income Buckets for your financial security.",Dentaltown,7/23/2014
Managing the Causes of Non-Carious Cervical Lesions,"John J. Maggio, DDS","What ARE those grooves some patients develop on the cervical aspects of some of their teeth? Are they caused by tooth brushing? Occlusal forces and habits? Acid erosion? Or is it all of the above?
In this course, Dr. John Maggio provides scientific evidence of what we currently know about this phenomenon. After discussing the etiologies, protocols are developed to find and manage the causes for individual patients. Many cases are presented, to directly apply this information to the daily practice of dentistry.",1.5,https://www.dentaltown.com/onlinece/details/419/managing-the-causes-of-non-carious-cervical-lesions,Restorative Dentistry,Video, $36,"understand the clinical importance of these lesions
see the multifactorial cause of these lesions
know how to counsel patients on brushing, diet and habits
be able to evaluate possible occlusal involvement in lesion formation
recognize which brushing habits tend to lead to loss of tooth structure
appreciate the role of acid in this process",Dentaltown,7/16/2014
How Periodontal Soft Tissue Grafting WILL Enhance your Restorative Results,James Kohner DDS,"See useful methods for improving soft tissue appearances, and stopping the progression of recession, around both natural teeth and restorations, as well as for covering exposed root surfaces with healthy gingival soft tissues. Techniques discussed include both Free Gingival and Connective Tissue Grafts. Case examples will show participants the indications and benefits of these grafts and how they directly impact better dental health and better restorative results that make patients happier!",2.5,https://www.dentaltown.com/onlinece/details/415/how-periodontal-soft-tissue-grafting-will-enhance-your-restorative-results,Periodontics,Video, $36,"Diagnose indications and contraindications for both grafts.
See why these two grafts are the most useful from among many other options.
Predictably enhance smiles and restorative results by recommending these grafts whether you learn to do the surgeries or refer out.
Think through a ""Decision Tree"" process to compare benefits of each graft and how they differ and where to use them.",Dentaltown,7/2/2014
Oral Cancer in the Dental Office,"Fayette Williams, DDS, MD",Both dentists and hygienists play a critical role in the detection of oral cancer. This course reviews the demographics and risk factors relevant to oral cancer. Common diagnostic tools are discussed with attention to scenarios when these tools might be appropriate. The course also provides an overview of cancer staging.,1.5,https://www.dentaltown.com/onlinece/details/488/oral-cancer-in-the-dental-office,"Oral Pathology, Pharmacology, and Cariology",PDF, $36,"1. Understand the various forms of oral malignancy
2. Recognize the most common risk factors for oral and oropharyngeal cancer
3. Compare the various diagnostic adjuncts available
4. Describe the TNM system for cancer staging",Dentaltown,7/1/2014
Tack & Wave Veneer Cementation,Dr. David Hornbrook,"One of the most stressful things we do in dentistry in the try-in and cementation of multiple veneers. There are huge expectations for ourselves and from our patients, including whether all the restorations will seat correctly, will they all match, or will there be any contamination or bleeding and this all adds to the stress. The last thing we need is for the actual cementation process, try-in and veneer and tooth preparation protocol to add to this stress. Dr. David Hornbrook has mentored thousands of clinicians throughout the world on correct utilization of veneer adhesive systems and has created an efficient and predictable technique for bonding in anterior restorations entitled the “Tack & Wave” technique. This protocol is currently being taught at most of the major teaching centers and most post-graduate university programs. Join Dr. Hornbrook as he discusses Veneer try-in and selection of cements, adjustment of the ceramic during try-in, state-of-the-art adhesive systems, selection of cements, and proper finishing and polishing techniques. Also discussed and shown is the use of the AMSA injection for obtaining anesthesia for maxillary anterior teeth without lip anesthesia for predictable evaluation of the new smile by the patient before cementation.",2,https://www.dentaltown.com/onlinece/details/393/tack-wave-veneer-cementation,Cosmetic Dentistry,Video, $36,"Easily try-in and adjust anterior veneers and crowns during try-in
Understand the importance of evaluating the restorations when they are returned from the lab
Correctly choose the shade of cement to provide ideal aesthetics
Learn how to mix cement shades to neutralize grey shaded and tetracycline-stained teeth
Understand the advantages of the different adhesive bonding systems
Predictably place multiple veneers at one time with very easy clean-up and finishing",Dentaltown,6/18/2014
The 180 Degree Dental Journey: Part Five: Marketing Strategies,Michael Abernathy DDS,"New patients are the fuel for success. An effective marketing campaign insures that success. Marketing should be driven by the demographics of your area along with your practice style. Keep in mind that consumers vote with their feet, and if you have plateaued, you are not meeting their needs. This program takes you from philosophy, to the nuts and bolts of a successful marketing campaign. You will see how to structure a marketing strategy from planning to execution with real examples of each type of marketing along with the statistics to support what type of results you should expect. From budget and case average to structuring a comprehensive step by step marketing program, you will have it all.
We as dentists were never given the correct tools to manage and promote a business. This course will give you “nothing but meat” to do lists of hundreds of marketing strategies. Nothing will affect change like unlimited new patients and this module guarantees that you will have everything you need to become the master at successfully getting patients to call your office for appointments. This is part 5 of a six part series that as a whole gives you every step to thrive in Dentistry in any location or economy",2,https://www.dentaltown.com/onlinece/details/400/the-180-degree-dental-journey-part-five-marketing-strategies,Marketing,Video, $36,"Use demographic studies to determine the types of patients that live in your draw area.
Determine how to set up a marketing strategy to take into account the budget, case average, and return on investment in order to have unlimited new patients.
Understand the logical order of what to do, when, and how to incorporate over 30 different marketing outreaches.
""Cosumerize"" your practice to maximize your return on current patients, new patients, and reactivation strategies.
See how offers, hours, systems, and removal of barriers clear the way to maximize the results in any marketing platform.",Dentaltown,6/11/2014
Socket Bone Grafting Techniques using d-PTFE Membranes,"Anthony Reganato, DDS, MD","Dense PTFE is non-resorbable and chemically stable. In addition to its long history in the field of guided tissue regeneration, PTFE has been used for over 30 years in cardiovascular applications such as suture, vascular grafts and heart valves. PTFE is bio-inert and does not cause inflammation. If manufactured with a small pore size (0.3 microns), bacteria are prevented from entering the structure of the barrier while still allowing diffusion of oxygen and small molecules across the membrane. Upon implantation, dense PTFE is immediately coated with plasma proteins, facilitating cellular adhesion to the smooth, biocompatible surface. This cellular adhesion is observed to form a hermetic seal, providing resistance to migration of bacteria and epithelial cells around and under the membrane when it is exposed in the mouth. Plasma protein adsorption also facilitates diffusion of soluble organic molecules across the membrane. Removal of dense PTFE is simplified due to the lack of tissue ingrowth into the surface structure. The primary advantage of high-density PTFE is the ability to remain exposed in the mouth while protecting the underlying defect and bone graft. The membrane is soft, flexible and easy to handle. Primary closure is not required and the membrane may be removed without additional surgery if exposed. If primary closure technique is used, the membrane may be easily removed through a small incision in a flapless technique.",2.5,https://www.dentaltown.com/onlinece/details/308/socket-bone-grafting-techniques-using-d-ptfe-membranes,Oral and Maxillofacial Surgery,Video, $36,"Understand design principles of surgical flaps that facilitate placement and retention of d-PTFE membranes
Understand the need for thorough debridement of the surgical site prior to the placement of biologic materials at the surgical site
Manage d-PTFE membrane application in regards to trimming of the membrane in order to accommodate the morphology of the defect, as well as seating of the membrane in order to prevent its distortion upon placement
Understand suturing principles that facilitate flap and membrane adaptation to the surgical site
Perform minimally invasive socket grafting techniques using d-PTFE membranes when primary closure cannot be obtained at the surgical site and when a gain in keratinized tissue is desired",Dentaltown,6/4/2014
The 180 Degree Dental Journey: Part Four: Production Building Strategies,Michael Abernathy DDS,"This course delves into the details of case acceptance, patient flow, scheduling, and effectively handling cancellations and no-shows. The details here include scripts and precise systems to give you a very predictable result every time you interface with a patient.
This course is designed to be a masters’ program in handling patients in order to fine tune every interaction and blockage that you might encounter including ""my insurance doesn't cover that"". Your practice will see unlimited growth in profitability and production by implementing the details of these production building strategies. This is part 4 of a six part series that as a whole gives you every step to thrive in Dentistry in any location or economy.",1.5,https://www.dentaltown.com/onlinece/details/399/the-180-degree-dental-journey-part-four-production-building-strategies,"Practice Management, HR and Accounting",Video, $36,"Craft case presentation and acceptance to a 92% success rate.
Treatment plan more effectively.
Schedule for maximum efficiency and productivity.
Perfect recall enrollment for patient retention.
Process new patients through improved procedures and flow.
Effectively handle emergency appointments for maximum efficiency and profit.
Effectively manage cancellations and no-shows.",Dentaltown,5/13/2014
Clinical Assessment of Implant Success or Failure,"Carl Misch, DDS, MDS, PhD (hc)","Implants are no longer the occasional means of replacing missing teeth. Whether they are used in conjunction with removable or fixed prosthetics, they are now the number one tool that dentists have to restore a dentition with one or multiple missing teeth. But how does one assess whether an implant has successfully integrated and is ready to restore? And more importantly how does one assess whether an implant with a restoration is doing its job and is clinically viable? In this comprehensive course, Dr. Carl Misch goes into detail on how to evaluate the success of an implant in your patient’s mouth. He describes what to look for clinically when doing patient exams to make this assessment with certainty. Both hygienists and dentists can go through a list of criteria and evaluate the results and know what steps to take depending on the results. Many examples of successes and failures are shown in this presentation from Dr. Misch’s case files to help one understand this important evaluation process. In addition, Dr. Misch describes how to avoid the most common reasons that implants fail.

This course is a must see for clinicians in dental practices that not only place or restore implants, but also for those dental practices that have patients that already have had implants placed. In other words, this information is important for every dental practice.",1.5,https://www.dentaltown.com/onlinece/details/405/clinical-assessment-of-implant-success-or-failure,Implant Dentistry,Video, $36,"Understand how to evalulate the success of an implant in your practice
Understand criterial for Implant success
Understand the validity of the comparison of the ideal conditions of teeth and Implant success.
Understand that bone ""likes"" rough surface Implants over smooth surface implants.
Understand when mobility is and is not a concern in an implant.",Dentaltown,4/29/2014
Minimally Invasive Management of Missing Teeth,Dr. Louis Mackenzie,"This course is a comprehensive overview of the minimally invasive management of missing teeth. It is composed almost entirely of clinical examples and case reports to provide practitioners with an evidence-based update in the following subject areas:

• Prevalence and aetiology of tooth loss
• Discussion of the potential ‘biological cost’ of replacing missing teeth
• Case selection for the replacement of missing teeth
• An overview of the management options for patients with missing teeth
• A grisly description of the potential complications of traditional techniques for tooth replacement!
• An outline of the potential benefits of cantilever and fixed/movable bridge designs
• A detailed description of contemporary metal-ceramic resin-bonded bridgework (including advantages and disadvantages)
• Step-by-step practical guidance on optimization of all clinical stages in metal-ceramic resin-bonded bridge procedures
• Practical guidance on the use of fiber-reinforced composite resin-bonded bridges using step-by-step clinical examples
• Practical guidance on the use of resin-bonded bridges made entirely from ceramic",2,https://www.dentaltown.com/onlinece/details/418/minimally-invasive-management-of-missing-teeth,Restorative Dentistry,Video, $36,"Demonstrate understanding of the prevalence, aetiology and biological impact of tooth loss
Diagnose clinical situations where replacement of missing teeth is appropriate
Understand the advantages and disadvantages of a comprehensive range of management options for missing teeth
Understand the evidence-based advantages and disadvantages of metal-ceramic resin-bonded bridgework
Optimise all clinical stages of metal-ceramic resin-bonded bridgework including: Patient assessment, design, material and equipment selection, operative techniques, impression-taking, cementation and monitoring
Demonstrate understanding of the design and clinical stages recommended for provision of resin-bonded bridges fabricated from fibre-reinforced composite and from ceramic",Dentaltown,4/9/2014
The 180 Degree Dental Journey: Part Three: Team Development Strategies,Michael Abernathy DDS,"Team Development also includes the doctor. Defining and communicating your vision and what is core to your practice is essential in having team members commit to its success. Far too many offices have only a group of people working rather than the synergistic effect of a team. All strategies from hiring, training, developing a vision, follow through, and tracking will be covered. We will also take a look at how to structure a bonus system that will continue to drive your overhead down while incentivizing your staff to go far beyond the average office. You will be able to assemble, train, incentivize, and structure a human resource powerhouse to guarantee you continued growth and profitability regardless of the economy or location.

This is part 3 of a six part series that as a whole gives you every step to thrive in Dentistry in any location or economy.",2.5,https://www.dentaltown.com/onlinece/details/398/the-180-degree-dental-journey-part-three-team-development-strategies,"Practice Management, HR and Accounting",Video, $36,"Create a vision for his team and office.
Develop a team to embrace and achieve the vision.
Use goal setting to stay the course and improve follow through.
Utilize management by statistics to help staff self-manage their jobs to new highs.
Hire, dismiss, and discipline legally and positively.
Incorporate staff meetings, performance evaluations, job descriptions to fuel the best bonus system ever.",Dentaltown,3/26/2014
Bruxism: Diagnosing Types of Tooth Wear,"Lee Ann Brady, DMD","Wear is a common problem we see in our practices. Deciding how to help our patients preserve their tooth structure and dental health depends on the cause of the wear. At the top of the list are attrition, caused by rubbing the teeth together and erosion where the teeth dissolve due to the presence of acid. Additionally we can see tooth wear from abrasion, caused by abrasive toothpastes and other oral hygiene products and abfraction, which is a loss of cervical tooth structure due to occlusal forces.

This program will describe the different clinical presentations that differentiate between the types of tooth wear. Determining which tooth surfaces are losing mass and showing signs of wear is a key first step to knowing the cause. Erosive patterns can occur on any tooth surfaces whether the patient can occlude there or not. Often these patterns are unique to the cause of the acid helping differentiate between GERD, Bulimia or Citrus Mulling. Attrition displays wear facets that are flat in character with the enamel and dentin being level, unlike erosion where the dentin disappears in depressions.",1.5,https://www.dentaltown.com/onlinece/details/425/bruxism-diagnosing-types-of-tooth-wear,TMJ and Occlusion,Video, $36,"Describe the clinical presentation of attrition
Describe the clinical presentation of erosion
Understand the common causes of abrasion
Differentiate the cause of tooth wear
Make recommendations to patients to manage the types of wear",Dentaltown,3/12/2014
Anterior All Ceramics: From Case Selection to Cementation,Dr. John Nosti,"Are you wanting to perform more cosmetic dentistry in your office but unsure on a which patient's are great candidates, or what cement works best? Patients today are as cosmetically motivated as they have ever been. Join Dr. John Nosti as he discusses Case Selection, Smile Design Principles, how to order your Waxup RX, Preparation designs, Temporization Technique, Cementation, and all the records necessary from your first visit to delivery day. Dr. Nosti will then demonstrate and review a case from his office from start to finish. You will be able to see on video the patient tell you her desired goals, review of her case, preparation, temporization, and cementation of her final ceramics!

Designed to be a stand alone CE course in anterior all ceramics, no previous courses by this author are necessary. This is a 2 hour comprehensive CE course with 2.5 credit hours awarded. This CE course is from his DVD that retails for $90. If you desire a hard copy (DVD), after taking this CE course, forward your course receipt to Dr. Nosti and you may purchase the DVD for only an additional $36.",2.5,https://www.dentaltown.com/onlinece/details/424/anterior-all-ceramics-from-case-selection-to-cementation,Cosmetic Dentistry,Video, $54,"Be able to identify which patients are candidates for anterior all ceramic restorations
Understand proper preparation design depending on the case circumstances and goals desired.
Understand the principles of smile design
Learn a predictable and reliable way to temporize anterior veneers
Learn a step by step process of veneer cementation
Be able to provide patients with a step by step post op temporary instructions to ensure proper gingival health on seat visit.",Dentaltown,2/26/2014
Stress Management for Dental Professionals,"Jen Butler, M.Ed., CPC, BCC","This course is discusses the topic of stress and stress management as it relates to dental professionals. With five learning objectives, participants will establish a common nomenclature in which to talk about the subject, increase their knowledge around the science of stress, learn the three main types of stress experienced within the dental practice, obtain the ability to assess their own stress, and determine which of their behaviors are reducing and/or perpetuating their stress.

The emphasis for this course is to increase overall knowledge so participants can understand how their behaviors and choices are impacting their level of stress and quality of life. Ultimately, participants will understand that it takes appropriate coping methods that address their particular type of stress that will lead them to have a successful and effective stress management program.",2,https://www.dentaltown.com/onlinece/details/408/stress-management-for-dental-professionals,"Health, Wellness and Ergonomics",Video, $36,"Define key terms related to stress management
Understand the science behind the issue
Know the three types of stress experienced in a dental practice and specific coping methods for each type of stress
Assess your level of stress to establish effective coping methods
Identify habits that reduce and/or perpetuate your stress response",Dentaltown,2/18/2014
The Spear Education Series of Online CE on Dentaltown...Framework for the New Patient Experience,Imtiaz Manji,"This course explores the process of setting the foundation to create value for the new patient. It looks at building the relationship with the patient, starting with a strong foundation in the beginning. The new patient experience is one of the most important strategies in any dental practice because it sets the stage for the exam, case acceptance and the ongoing patient relationship. In this course, learn an approach to mastering every aspect of the new patient experience. Imtiaz Manji teaches you a highly successful strategy where every team member participates in specific ways, and he gives you specific resources that can be used to guide and support your team’s new patient strategy.

This CE course is meant for doctors and teams.",1.5,https://www.dentaltown.com/onlinece/details/330/the-spear-education-series-of-online-ce-on-dentaltownframework-for-the-new-patient-experience,"Practice Management, HR and Accounting",Video, $36,"Understand the patient's profile and how it affects our relationship with them.
Learn what is meant by different types of patients on the Patient Pyramid.
Understand the vision of the new patient experience
Learn what is meant by building a great practice",Dentaltown,2/5/2014
What Exactly is CBCT and What Does One Need to Know Before Use or Purchase?,Dr. James Mah,"This course covers all aspects of advances, features, and technology of CBCT devices and gives a comprehensive understanding of this important device in dentistry. This course is extremely helpful to potential cone-beam CT purchasers and users as well as all dental professionals. It focuses on key decisions relating to appropriate field of view and imaging needs and goals. A discussion of technical performance details is provided to allow for comparison between devices. Key topics include:

1) Major Advances and New Features of CBCT Devices
2) Factors in your practice that may influence your decision
3) Field of View Differences
4) Performance Specifications of CBCT Devices
5) Factors influencing X-ray Resolution
6) Image Quality Parameters
7) When to Purchase a CBCT?",1.5,https://www.dentaltown.com/onlinece/details/413/what-exactly-is-cbct-and-what-does-one-need-to-know-before-use-or-purchase,"Imaging, CBCT, and Radiography",Video, $36,"Describe the various fields of view of cone-beam CT devices
Understand the relationship between field of view and image resolution
Discuss practice parameters that may influence the decision to purchase a cone-beam CT device
Understand performance specifications of cone-beam CT devices
Understand factors which influence X-ray resolution",Dentaltown,1/29/2014
Medical Emergency Mastery,Dr. Catharine Goodson,"Medical emergency mastery was developed to teach dentists and their staff how to recognize and manage medical emergencies in their practice so they can best protect their patient’s health and safety. Adequate emergency preparation involves four key areas: A properly constructed medical history, a working knowledge of the signs and symptoms of the eight most common medical emergencies, construction of a straightforward, easily reproducible emergency drug kit and staff training that can be accomplished with as few as three responders. Participants will be provided with the tools to customize a medical history that is reflective of their patient population. The signs, symptoms and necessary responses for each of the most commonly occurring emergencies will be outlined. Doctors will be able to construct a personalized emergency preparation system that includes only necessary drugs and equipment. Staff training will be outlined in detail, as well as all necessary checklists, review logs and equipment maintenance records.",1.5,https://www.dentaltown.com/onlinece/details/391/medical-emergency-mastery,"Health, Wellness and Ergonomics",Video, $36,"Objectively evaluate their current medical history form for its ability to obtain necessary information from their patients.
Recognize the signs and symptoms of the eight most commonly occurring medical emergencies along with the necessary action steps.
Assemble the necessary emergency equipment and supplies for the dental office.
Implement staff emergency medical training with as few as three responders.
Effectively document any in-office emergency occurrence with accuracy and consistency",Dentaltown,1/15/2014
The 180 Degree Dental Journey: Part Two: Benchmarks and Financial Strategies,Michael Abernathy DDS,"With more competition, fewer dollars spent on healthcare, intrusions from corporate practices and insurance companies mean we have to be at the top of our dental game. It is time to design a business model for dentistry that will not only compete in this economy, but actually guarantee predictive growth while lowering overhead and stress. No business should try to compete without challenging benchmarks. Once you have your target in the form of various benchmarks, you need to build your business model with a sound financial system.

At the end of this training session, you will have black and white goals and targets to guide you in your pursuit of growth. This session starts with all things financial and insures that your office will have the tools to do treatment estimates, insurance processing, 100% collections, patient financing, and proper accounts receivable management. Multi-million doctor practices are guided by these financial policies, and you will be exposed to all things financial in a Super General Dental Practice.

This is can be viewed ""stand alone"" but is also part 2 of a six part series that as a whole gives you every step to thrive in Dentistry in any location or economy.",2,https://www.dentaltown.com/onlinece/details/397/the-180-degree-dental-journey-part-two-benchmarks-and-financial-strategies,"Practice Management, HR and Accounting",Video, $36,"Understand what the Super General Dental Practice should have for benchmarks.
Craft a strategy for overhead and profitability with the 50% model.
Handle the financial needs of your patients by effectively utilizing their insurance, outside financing, and systems to guarantee 100% collections.
Structure tracking and follow-up systems.
Create patient friendly financing options and alternatives.",Dentaltown,1/8/2014
Posterior Single Tooth Replacement,"Carl Misch, DDS, MDS, PhD (hc)","Seventy percent of the population is missing one or more teeth. The traditional method to replace a tooth is a fixed partial denture. As a consequence of this device, the adjacent teeth decay almost 25% of the time. The pontic acts as a plaque trap and often causes decay at the crown margin next to the pontic. In addition, the abutment teeth of a fixed partial denture require endodontics for the decay or trauma of preparing the tooth almost 15% of the time. The endodontic treated tooth fails 10% of the time. In addition, the tooth may fracture as a result of the endodontic treatment. As a result of the decay or endodontics complications the abutment tooth is lost almost 30% of the time within 10 to 15 years. A dental implant to replace a missing tooth does not have to crown additional teeth and splint them together. The implant does not decay or need endodontic therapy. As a result, the implant and adjacent teeth last longer and are more predictable than traditional fixed prostheses.

This program explains to the dental team the consequences of preparing and having crowns on adjacent teeth splinted together to replace missing teeth. The advantages of implants to replace the teeth are presented in a format for doctors, staff and patients to understand the benefits of implant dentistry.",1.5,https://www.dentaltown.com/onlinece/details/404/posterior-single-tooth-replacement,Implant Dentistry,Video, $36,"Understand and explain the effects of partial edentulism as they relate to aging population.
Understand the negative health effects of removable prostheses for the patient.
Understanding the true prosthetic options available to restore a partially edentulous patient.
Learn criteria for long term implant success for the edentulous patient.
Understand complications and loss of additional teeth as a consequence of fixed or removable prostheses.",Dentaltown,12/23/2013
When Should You Put Occlusion First?,"Mark T. Murphy, DDS, FAGD","This evidence based review of examination, differential diagnosis, splint therapy, treatment planning and equilibration will emphasize how to evaluate and apply risk assessment and easily communicate with your patients. We will walk through each phase of occlusal evaluation and rehabilitation “breaking down” the process into words your team and patients will understand and you can easily apply. We will explore the physics, bio-mechanical, physiological, risk assessment and psychological dimensions of occlusion and TMD. The focus will be on developing risk assessment skills that you can put to use right away in planning and restoring dentitions for your patients. You will understand which patients you most need to concerned about their occlusion with when doing restorative.",1.5,https://www.dentaltown.com/onlinece/details/407/when-should-you-put-occlusion-first,TMJ and Occlusion,Video, $36,"1. Broaden the understanding of managing forces on the stomatognathic system.
2. Help the participant develop a risk assessment protocol regarding occlusion in restorative care.
3. Deepen the verbal skills for dental teams in explaining the role of occlusion to patients.
4. Strengthen the participants understanding of treatment options.
5. Provide a splint therapy matrix for decision making.",Dentaltown,12/11/2013
